date,action,price,shares,capital,return_pct
2023-01-17,BUY,16.2226619720459,61.64216462890932,,
2023-01-18,SELL,16.455028533935547,,1014.3235778622553,1.4323577862255465
2023-01-19,BUY,16.82939910888672,60.27093250920911,,
2023-01-20,SELL,17.242494583129883,,1039.2212273102248,2.4546062017450687
2023-01-23,BUY,17.113401412963867,60.72558004295899,,
2023-01-24,SELL,17.027341842651367,,1033.9952099847503,-0.5028782311347402
2023-01-25,BUY,17.492076873779297,59.11220362487166,,
2023-01-26,SELL,17.48347282409668,,1033.486605647913,-0.049188268178235184
2023-01-30,BUY,17.56092643737793,58.851485389071854,,
2023-01-31,SELL,17.513587951660156,,1030.7006654473525,-0.2695671318172277
2023-02-01,BUY,17.302738189697266,59.568644809124635,,
2023-02-07,SELL (SL),16.73042869567871,,996.6089644772715,-3.3076238439493366
2023-02-08,BUY,17.126312255859375,58.191684794039915,,
2023-02-14,SELL,17.87935447692871,,1040.429760042342,4.396989905469573
2023-02-15,BUY,18.04287338256836,57.66430534548479,,
2023-02-16,SELL,18.245115280151367,,1052.0918985782187,1.1208962857235383
2023-02-17,BUY,18.425844192504883,57.098708074725835,,
2023-02-23,SELL,18.11602210998535,,1034.4014579333323,-1.681453936561339
2023-02-28,BUY,17.688892364501953,58.47745786554549,,
2023-03-01,SELL (SL),17.118284225463867,,1001.0337445249953,-3.2257991471709158
2023-03-07,BUY,17.381637573242188,57.59145191624618,,
2023-03-10,SELL (SL),16.850536346435547,,970.4468537587013,-3.055530438767362
2023-03-16,BUY,16.812549591064453,57.721575689773736,,
2023-03-17,SELL,16.524585723876953,,953.8251256029181,-1.7127911839174392
2023-04-10,BUY,17.295438766479492,55.148940624249356,,
2023-04-12,SELL (TP),18.925745010375977,,1043.7347878469081,9.42622078519455
2023-04-13,BUY,18.916885375976562,55.17476937151587,,
2023-04-14,SELL,19.24028778076172,,1061.5784409451228,1.709596470864394
2023-04-17,BUY,19.284587860107422,55.04802325286559,,
2023-04-18,SELL,19.32003402709961,,1063.5296823699337,0.183805675544213
2023-04-25,BUY,19.058650970458984,55.80298857555084,,
2023-04-28,SELL,18.98776626586914,,1059.5741040095254,-0.3719292865991153
2023-05-02,BUY,18.535886764526367,57.16338891524297,,
2023-05-11,SELL (TP),19.67001724243164,,1124.404845598655,6.118566067611897
2023-05-12,BUY,19.594703674316406,57.38310026461176,,
2023-05-15,SELL,19.687740325927734,,1129.7435771063515,0.4748050960998951
2023-05-16,BUY,19.120676040649414,59.08491805962217,,
2023-06-05,SELL,19.999675750732422,,1181.6792029510377,4.597116274624957
2023-06-06,BUY,20.230680465698242,58.4102549073726,,
2023-06-07,SELL,20.22179412841797,,1181.160149725304,-0.0439250538079583
2023-06-09,BUY,21.208005905151367,55.69406925893035,,
2023-06-12,SELL,21.976545333862305,,1223.9632378961498,3.6238174967890835
2023-06-13,BUY,21.747802734375,56.279857457118176,,
2023-06-14,SELL,21.855159759521484,,1230.0052759684143,0.4936453878018332
2023-06-15,BUY,22.302461624145508,55.15109931348398,,
2023-06-16,SELL,22.136960983276367,,1220.877733687395,-0.7420734251593286
2023-06-21,BUY,23.25521469116211,52.499095359948505,,
2023-06-22,SELL,22.8123836517334,,1197.629504720082,-1.9042225380830557
2023-06-27,BUY,22.45454216003418,53.335734756226216,,
2023-07-11,SELL (SL),21.622562408447266,,1153.2552533668913,-3.7051735263955554
2023-07-21,BUY,21.703075408935547,53.13787247368985,,
2023-07-24,SELL,21.278141021728516,,1130.6751440897986,-1.9579454948218
2023-07-26,BUY,21.345232009887695,52.97085286147458,,
2023-07-27,SELL,20.906879425048828,,1107.455233816852,-2.053632327049948
