date,action,price,shares,return_pct
2023-03-24,BUY,29.32868194580078,34.09631574470321,
2023-03-30,SELL (TP),31.23550033569336,,6.501548188958384
2023-03-31,BUY,30.055089950561523,35.43544483285388,
2023-04-04,SELL,29.23788070678711,,-2.7190377573937274
2023-04-19,BUY,29.510284423828125,35.1083471082492,
2023-04-20,SELL,29.96428871154785,,1.5384612401537545
2023-05-10,BUY,38.953575134277344,27.00642098473541,
2023-05-11,SELL,39.498382568359375,,1.3986070141290385
2023-05-12,BUY,39.13517761230469,27.257061624318737,
2023-05-15,SELL,39.77078628540039,,1.6241364211819986
2023-05-16,BUY,30.69069480895996,35.321284818624946,
2023-05-19,SELL (TP),33.051517486572266,,7.692307692307687
2023-05-22,BUY,34.50433349609375,33.834070812095135,
2023-05-23,SELL (SL),33.23311996459961,,-3.6842141339668455
2023-05-24,BUY,32.960716247558594,34.1136923646919,
2023-05-26,SELL (TP),34.685935974121094,,5.234169408227851
2023-05-29,BUY,34.41353225708008,34.3837226694196,
2023-06-01,SELL (TP),36.86515808105469,,7.1240168130960235
2023-06-05,BUY,35.321537017822266,35.88635938984538,
2023-06-13,SELL (SL),34.14112854003906,,-3.3418944288511665
2023-06-14,BUY,34.59513473510742,35.415407922068454,
2023-06-20,SELL (SL),33.41472244262695,,-3.4120760087185786
2023-06-23,BUY,32.506710052490234,36.40466918975927,
2023-06-26,SELL (SL),30.872297286987305,,-5.027924274292173
2023-07-03,BUY,31.23550033569336,35.98135959987744,
2023-07-04,SELL,30.59989356994629,,-2.034885815549914
2023-07-05,BUY,30.963098526000977,35.55928917558554,
2023-07-06,SELL (SL),28.602275848388672,,-7.624633160114214
2023-07-10,BUY,27.694265365600586,36.725169797644945,
2023-07-11,SELL,27.785066604614258,,0.32787018472950624
2023-07-12,BUY,27.05866050720215,37.7110791800552,
2023-07-13,SELL,27.421863555908203,,1.342280223403458
2023-07-14,BUY,26.786256790161133,38.605919293708965,
2023-07-17,SELL,26.877058029174805,,0.33898442669684226
2023-07-18,BUY,26.877058029174805,38.605919293708965,
2023-07-19,SELL,26.695457458496094,,-0.6756713122455071
2023-07-20,BUY,26.33225440979004,39.13841405725499,
2023-07-25,SELL (TP),27.87586784362793,,5.862063345643476
2023-07-26,BUY,28.057470321655273,38.885089972889055,
2023-07-31,SELL (TP),30.418291091918945,,8.414232442193992
2023-08-01,BUY,31.144699096679688,37.978147814467,
2023-08-03,SELL (SL),28.693077087402344,,-7.871715188729212
2023-08-04,BUY,27.785066604614258,39.21926617574833,
2023-08-10,SELL (SL),25.878250122070312,,-6.86273856988805
2023-08-11,BUY,26.150651931762695,38.81073337477043,
2023-08-14,SELL,25.78744888305664,,-1.3888871667666058
2023-08-15,BUY,25.15184211730957,39.79151102920843,
2023-08-16,SELL (TP),26.967859268188477,,7.220215292418364
2023-08-18,BUY,27.240262985229492,39.393594330793576,
2023-08-30,SELL,26.51385498046875,,-2.666670307678831
