date,action,price,shares,return_pct
2023-04-19,BUY,29.510284423828125,33.88649142237845,
2023-04-20,SELL,29.96428871154785,,1.5384612401537545
2023-05-10,BUY,38.953575134277344,26.06653199100193,
2023-05-11,SELL,39.498382568359375,,1.3986070141290385
2023-05-12,BUY,39.13517761230469,26.308449728033313,
2023-05-15,SELL,39.77078628540039,,1.6241364211819986
2023-05-16,BUY,30.69069480895996,34.09201838364212,
2023-05-19,SELL (TP),33.051517486572266,,7.692307692307687
2023-05-22,BUY,34.50433349609375,32.65656303394631,
2023-05-23,SELL (SL),33.23311996459961,,-3.6842141339668455
2023-05-24,BUY,32.960716247558594,32.92645307788279,
2023-05-26,SELL (TP),34.685935974121094,,5.234169408227851
2023-05-29,BUY,34.41353225708008,33.1870856726536,
2023-06-01,SELL (TP),36.86515808105469,,7.1240168130960235
2023-06-05,BUY,35.321537017822266,34.6374269883715,
2023-06-13,SELL (SL),34.14112854003906,,-3.3418944288511665
2023-06-14,BUY,34.59513473510742,34.18286577465291,
2023-06-20,SELL (SL),33.41472244262695,,-3.4120760087185786
2023-06-21,BUY,34.14112854003906,33.45557165206387,
2023-06-22,SELL (SL),32.41591262817383,,-5.05318946865504
2023-07-12,BUY,27.05866050720215,40.07932644375557,
2023-07-13,SELL,27.421863555908203,,1.342280223403458
2023-07-14,BUY,26.786256790161133,41.03036231464267,
2023-07-17,SELL,26.877058029174805,,0.33898442669684226
2023-07-19,BUY,26.695457458496094,41.309478610854406,
2023-07-20,SELL,26.33225440979004,,-1.3605425165338803
2023-08-09,BUY,26.967859268188477,40.33585645412883,
2023-08-10,SELL (SL),25.878250122070312,,-4.040399110964943
2023-08-11,BUY,26.150651931762695,39.91569253919976,
2023-08-14,SELL,25.78744888305664,,-1.3888871667666058
2023-08-15,BUY,25.15184211730957,40.92439337785265,
2023-08-16,SELL (TP),26.967859268188477,,7.220215292418364
