Data,Preço_Real,Preço_Previsto_CNN,Sinal,Posição,Capital_Acumulado
2023-01-30,15.032910346984863,14.471858,HOLD,0,1000.0
2023-01-31,15.219724655151367,14.743985,HOLD,0,1000.0
2023-02-01,15.009556770324707,15.091357,HOLD,0,1000.0
2023-02-02,14.314835548400879,15.401573,BUY,1,1000.0
2023-02-03,14.472461700439453,15.603068,HOLD,1,1011.011384064149
2023-02-06,15.050423622131348,16.051758,HOLD,1,1051.3864145517648
2023-02-07,14.95701789855957,16.409897,HOLD,1,1051.3864145517648
2023-02-08,15.208050727844238,16.88406,HOLD,1,1051.3864145517648
2023-02-09,15.137993812561035,17.055279,HOLD,1,1051.3864145517648
2023-02-10,15.599203109741211,17.427301,HOLD,1,1051.3864145517648
2023-02-13,15.645903587341309,17.70839,HOLD,1,1051.3864145517648
2023-02-14,15.587523460388184,18.3029,HOLD,1,1051.3864145517648
2023-02-15,15.610875129699707,17.901094,HOLD,1,1051.3864145517648
2023-02-16,15.675094604492188,17.849722,HOLD,1,1051.3864145517648
2023-02-17,15.435736656188965,17.617197,HOLD,1,1051.3864145517648
2023-02-22,15.038748741149902,17.78318,HOLD,1,1051.3864145517648
2023-02-23,15.499950408935547,17.46508,HOLD,1,1051.3864145517648
2023-02-24,15.120481491088867,17.26168,HOLD,1,1051.3864145517648
2023-02-27,15.266430854797363,17.061993,HOLD,1,1051.3864145517648
2023-02-28,14.735172271728516,16.919827,HOLD,1,1051.3864145517648
2023-03-01,14.770197868347168,16.950504,HOLD,1,1051.3864145517648
2023-03-02,14.384888648986816,16.769184,HOLD,1,1051.3864145517648
2023-03-03,15.003721237182617,17.256523,HOLD,1,1051.3864145517648
2023-03-06,15.155509948730469,17.384218,HOLD,1,1051.3864145517648
2023-03-07,14.65343952178955,17.946144,HOLD,1,1051.3864145517648
2023-03-08,14.840255737304688,18.205133,HOLD,1,1051.3864145517648
2023-03-09,14.77603530883789,18.394627,HOLD,1,1051.3864145517648
2023-03-10,14.583382606506348,18.469606,HOLD,1,1051.3864145517648
2023-03-13,14.122179985046387,18.474915,HOLD,1,1051.3864145517648
2023-03-14,13.87114429473877,18.491423,SELL,0,1051.3864145517648
2023-03-15,13.625946998596191,18.752748,BUY,1,1051.3864145517648
2023-03-16,13.579239845275879,18.679752,HOLD,1,1047.782461999445
2023-03-17,13.725193977355957,18.729876,HOLD,1,1059.0443722088785
2023-03-20,13.386587142944336,19.039885,HOLD,1,1032.9172615125406
2023-03-21,13.66097640991211,19.053457,HOLD,1,1054.0893053799102
2023-03-22,13.620108604431152,19.121435,HOLD,1,1050.935920482725
2023-03-23,13.31069278717041,19.302395,HOLD,1,1027.0612065454925
2023-03-24,13.30485725402832,19.22973,HOLD,1,1026.6109332347353
2023-03-27,13.532538414001465,19.647564,HOLD,1,1044.178950963691
2023-03-28,13.771900177001953,19.815317,HOLD,1,1062.648251175104
2023-03-29,13.952876091003418,19.802109,HOLD,1,1076.6124635239287
2023-03-30,13.993741989135742,20.111668,HOLD,1,1079.7657012489256
2023-03-31,13.690167427062988,20.069323,HOLD,1,1056.3417021390158
2023-04-03,14.297319412231445,19.697744,HOLD,1,1103.189921117118
2023-04-04,14.168883323669434,19.209661,HOLD,1,1093.2797138730875
2023-04-05,14.215587615966797,18.808578,HOLD,1,1096.8834456671243
2023-04-06,14.01125717163086,18.13786,HOLD,1,1081.1171834560455
2023-04-10,14.30899429321289,17.420246,SELL,0,1104.0907620830096
2023-04-11,14.980367660522461,17.169474,HOLD,0,1104.0907620830096
2023-04-12,15.091290473937988,16.88546,HOLD,0,1104.0907620830096
2023-04-13,15.19637680053711,16.324247,HOLD,0,1104.0907620830096
2023-04-14,15.35400104522705,15.619673,HOLD,0,1104.0907620830096
2023-04-17,15.593361854553223,15.187344,HOLD,0,1104.0907620830096
2023-04-18,15.990344047546387,14.925578,HOLD,0,1104.0907620830096
2023-04-19,15.47659969329834,15.061031,HOLD,0,1104.0907620830096
2023-04-20,15.581687927246094,14.962993,HOLD,0,1104.0907620830096
2023-04-24,15.87942886352539,14.83011,HOLD,0,1104.0907620830096
2023-04-25,15.815205574035645,14.533572,HOLD,0,1104.0907620830096
2023-04-26,15.616713523864746,14.784458,HOLD,0,1104.0907620830096
2023-04-27,15.2372407913208,15.007891,HOLD,0,1104.0907620830096
2023-04-28,15.585894584655762,15.395932,HOLD,0,1104.0907620830096
2023-05-02,14.954565048217773,15.684691,BUY,1,1104.0907620830096
2023-05-03,14.901955604553223,16.12312,HOLD,1,1100.206623656979
2023-05-04,15.138703346252441,16.594208,HOLD,1,1117.6856338262032
2023-05-05,15.783185005187988,17.255547,HOLD,1,1165.2675089037048
2023-05-08,16.11857795715332,17.400011,HOLD,1,1165.2675089037048
2023-05-09,16.171184539794922,17.602728,HOLD,1,1165.2675089037048
2023-05-10,16.131729125976562,17.529177,HOLD,1,1165.2675089037048
2023-05-11,16.723602294921875,17.799402,SELL,0,1165.2675089037048
2023-05-12,17.262859344482422,17.588398,BUY,1,1165.2675089037048
2023-05-15,16.87485122680664,17.545773,HOLD,1,1139.07641021628
2023-05-16,17.29574203491211,17.456148,HOLD,1,1167.4871371818729
2023-05-17,16.87485122680664,17.23531,HOLD,1,1139.07641021628
2023-05-18,16.973499298095703,16.92042,HOLD,1,1145.7352950507845
2023-05-19,16.947193145751953,17.113989,HOLD,1,1143.95959242825
2023-05-22,16.84855079650879,16.431776,HOLD,1,1137.3010938399655
2023-05-23,17.262859344482422,16.217775,SELL,0,1165.2675089037048
2023-05-24,17.525909423828125,15.829146,HOLD,0,1165.2675089037048
2023-05-25,17.394384384155273,16.037107,HOLD,0,1165.2675089037048
2023-05-26,17.624555587768555,16.353012,HOLD,0,1165.2675089037048
2023-05-29,17.552217483520508,16.60816,HOLD,0,1165.2675089037048
2023-05-30,17.35492706298828,16.674698,HOLD,0,1165.2675089037048
2023-05-31,17.177364349365234,17.439943,HOLD,0,1165.2675089037048
2023-06-01,17.729774475097656,17.395365,HOLD,0,1165.2675089037048
2023-06-02,17.87445640563965,17.571367,HOLD,0,1165.2675089037048
2023-06-05,18.065168380737305,17.860296,HOLD,0,1165.2675089037048
2023-06-06,18.446596145629883,17.766289,HOLD,0,1165.2675089037048
2023-06-07,18.985855102539062,17.795458,HOLD,0,1165.2675089037048
2023-06-09,19.913116455078125,17.75936,HOLD,0,1165.2675089037048
2023-06-12,20.26166343688965,17.81225,HOLD,0,1165.2675089037048
2023-06-13,20.22212791442871,17.586046,HOLD,0,1165.2675089037048
2023-06-14,21.090991973876953,17.444754,HOLD,0,1165.2675089037048
2023-06-15,20.593496322631836,17.31727,HOLD,0,1165.2675089037048
2023-06-16,20.768667221069336,17.302597,HOLD,0,1165.2675089037048
2023-06-19,21.31521224975586,17.121605,HOLD,0,1165.2675089037048
2023-06-20,21.420318603515625,16.784798,HOLD,0,1165.2675089037048
2023-06-21,22.317214965820312,16.4153,HOLD,0,1165.2675089037048
2023-06-22,22.03693199157715,16.518847,HOLD,0,1165.2675089037048
2023-06-23,21.133031845092773,16.344852,HOLD,0,1165.2675089037048
2023-06-26,21.609508514404297,16.316854,HOLD,0,1165.2675089037048
2023-06-27,21.441341400146484,16.633879,HOLD,0,1165.2675089037048
2023-06-28,21.64454460144043,16.875704,HOLD,0,1165.2675089037048
2023-06-29,21.742639541625977,17.38181,HOLD,0,1165.2675089037048
2023-06-30,20.691593170166016,17.827698,HOLD,0,1165.2675089037048
2023-07-03,21.076976776123047,17.881811,HOLD,0,1165.2675089037048
2023-07-04,21.126028060913086,18.271961,HOLD,0,1165.2675089037048
2023-07-05,21.097997665405273,18.78649,HOLD,0,1165.2675089037048
2023-07-06,20.775678634643555,19.09382,HOLD,0,1165.2675089037048
2023-07-07,20.67057228088379,19.83574,HOLD,0,1165.2675089037048
2023-07-10,20.70560646057129,20.382914,HOLD,0,1165.2675089037048
2023-07-11,20.425329208374023,21.158178,HOLD,0,1165.2675089037048
2023-07-12,20.439340591430664,21.628786,HOLD,0,1165.2675089037048
2023-07-13,20.76166343688965,21.738144,HOLD,0,1165.2675089037048
2023-07-14,20.35525894165039,21.70784,HOLD,0,1165.2675089037048
2023-07-17,20.313215255737305,22.339912,BUY,1,1165.2675089037048
2023-07-18,20.20110321044922,22.634443,HOLD,1,1158.8362018906976
2023-07-19,20.390289306640625,23.182455,HOLD,1,1169.6888615141372
2023-07-20,20.411312103271484,22.815765,HOLD,1,1170.894834155682
2023-07-21,20.79669761657715,22.974865,HOLD,1,1193.0024725282153
2023-07-24,21.231128692626953,22.796999,HOLD,1,1217.9236094041676
2023-07-25,21.72161865234375,22.899256,SELL,0,1246.0605639091932
2023-07-26,21.72161865234375,23.016562,BUY,1,1246.0605639091932
2023-07-27,20.593496322631836,22.746586,HOLD,1,1181.345831143746
2023-07-28,20.852752685546875,22.31331,HOLD,1,1181.345831143746
2023-07-31,21.798694610595703,21.899946,HOLD,1,1181.345831143746
2023-08-01,21.441341400146484,21.841099,HOLD,1,1181.345831143746
2023-08-02,21.39229393005371,21.442423,HOLD,1,1181.345831143746
2023-08-03,21.66556167602539,21.5072,HOLD,1,1181.345831143746
2023-08-04,21.020919799804688,20.844133,SELL,0,1181.345831143746
2023-08-07,21.154050827026367,20.367619,HOLD,0,1181.345831143746
2023-08-08,21.17507553100586,20.150768,HOLD,0,1181.345831143746
2023-08-09,21.34324073791504,20.168522,HOLD,0,1181.345831143746
2023-08-10,21.462360382080078,20.389177,HOLD,0,1181.345831143746
2023-08-11,21.413311004638672,20.653992,HOLD,0,1181.345831143746
2023-08-14,21.46936798095703,21.332298,HOLD,0,1181.345831143746
2023-08-15,21.623519897460938,21.628876,HOLD,0,1181.345831143746
2023-08-16,22.099994659423828,21.66814,HOLD,0,1181.345831143746
2023-08-17,22.02992820739746,21.614586,HOLD,0,1181.345831143746
2023-08-18,22.085981369018555,21.509727,HOLD,0,1181.345831143746
2023-08-21,21.93182945251465,21.550808,HOLD,0,1181.345831143746
2023-08-22,22.265928268432617,21.20849,HOLD,0,1181.345831143746
2023-08-23,23.451602935791016,21.327732,HOLD,0,1181.345831143746
2023-08-24,23.415231704711914,21.263342,HOLD,0,1181.345831143746
2023-08-25,23.25520133972168,21.012009,HOLD,0,1181.345831143746
2023-08-28,23.517070770263672,20.498459,HOLD,0,1181.345831143746
2023-08-29,23.5679874420166,20.484375,HOLD,0,1181.345831143746
2023-08-30,23.728015899658203,20.532438,HOLD,0,1181.345831143746
