Data,Preço_Real,Preço_Previsto,Sinal,Posição,Capital_Acumulado
2023-01-23,15.640064239501953,14.2304125,HOLD,0,1000.0
2023-01-24,15.52914047241211,14.463761,BUY,1,1000.0
2023-01-25,15.727636337280273,14.700032,HOLD,1,1012.7821539911238
2023-01-26,15.324812889099121,14.8856535,HOLD,1,986.8423121243586
2023-01-27,14.957018852233887,15.034878,HOLD,1,963.1581914533768
2023-01-30,15.032910346984863,15.090221,HOLD,1,963.1581914533768
2023-01-31,15.219725608825684,15.114547,HOLD,1,963.1581914533768
2023-02-01,15.00955867767334,15.12627,HOLD,1,963.1581914533768
2023-02-02,14.314833641052246,15.138096,HOLD,1,963.1581914533768
2023-02-03,14.472464561462402,15.067399,HOLD,1,963.1581914533768
2023-02-06,15.050424575805664,14.958921,SELL,0,963.1581914533768
2023-02-07,14.957018852233887,14.882079,BUY,1,963.1581914533768
2023-02-08,15.208052635192871,14.858259,HOLD,1,979.3235280607024
2023-02-09,15.1379976272583,14.854519,HOLD,1,974.8123313168115
2023-02-10,15.599201202392578,14.888764,HOLD,1,1004.5115652154047
2023-02-13,15.645901679992676,14.96462,HOLD,1,1007.5188454755751
2023-02-14,15.587523460388184,15.076353,HOLD,1,1003.759576267585
2023-02-15,15.61087417602539,15.204896,HOLD,1,1005.2632471036296
2023-02-16,15.675091743469238,15.312694,HOLD,1,1009.3985414914891
2023-02-17,15.435736656188965,15.417854,HOLD,1,993.9852552439023
2023-02-22,15.03874683380127,15.499236,HOLD,1,968.4210700854927
2023-02-23,15.499953269958496,15.515901,HOLD,1,998.1204882198429
2023-02-24,15.120478630065918,15.544967,HOLD,1,973.6841943652845
2023-02-27,15.266430854797363,15.563815,HOLD,1,983.0827972686926
2023-02-28,14.735170364379883,15.565515,HOLD,1,948.8722438023705
2023-03-01,14.770198822021484,15.552414,HOLD,1,951.127903586235
2023-03-02,14.384889602661133,15.431088,SELL,0,926.3158916114021
2023-03-03,15.003721237182617,15.299034,BUY,1,926.3158916114021
2023-03-06,15.155508995056152,15.16889,HOLD,1,935.687127589972
2023-03-07,14.653440475463867,15.094053,HOLD,1,904.6898809053571
2023-03-08,14.840254783630371,15.003064,HOLD,1,916.2236237481771
2023-03-09,14.77603816986084,14.931137,HOLD,1,912.2589493250899
2023-03-10,14.583385467529297,14.887982,HOLD,1,900.3647494189139
2023-03-13,14.122178077697754,14.826249,SELL,0,871.8902311460193
2023-03-14,13.871145248413086,14.709011,HOLD,0,871.8902311460193
2023-03-15,13.625947952270508,14.563618,BUY,1,871.8902311460193
2023-03-16,13.579241752624512,14.347343,SELL,0,868.9016185850478
2023-03-17,13.725194931030273,14.14406,HOLD,0,868.9016185850478
2023-03-20,13.386588096618652,13.948835,HOLD,0,868.9016185850478
2023-03-21,13.660975456237793,13.78429,HOLD,0,868.9016185850478
2023-03-22,13.620108604431152,13.644913,HOLD,0,868.9016185850478
2023-03-23,13.310694694519043,13.540411,BUY,1,868.9016185850478
2023-03-24,13.30485725402832,13.438339,SELL,0,868.52055947377
2023-03-27,13.532539367675781,13.333818,HOLD,0,868.52055947377
2023-03-28,13.771899223327637,13.262593,HOLD,0,868.52055947377
2023-03-29,13.95287799835205,13.230285,HOLD,0,868.52055947377
2023-03-30,13.993741989135742,13.246336,HOLD,0,868.52055947377
2023-03-31,13.690164566040039,13.29362,HOLD,0,868.52055947377
2023-04-03,14.297320365905762,13.332184,HOLD,0,868.52055947377
2023-04-04,14.168886184692383,13.400776,HOLD,0,868.52055947377
2023-04-05,14.215584754943848,13.489138,HOLD,0,868.52055947377
2023-04-06,14.011256217956543,13.540321,HOLD,0,868.52055947377
2023-04-10,14.308998107910156,13.590473,HOLD,0,868.52055947377
