date,action,price,shares,capital,return_pct
2023-02-14,BUY,36.86515808105469,27.125883952574405,,
2023-02-15,SELL (SL),35.321537017822266,,958.1279141720078,-4.187208582799218
2023-02-16,BUY,34.59513473510742,27.695452597838614,,
2023-02-17,SELL (SL),33.23311996459961,,920.4062986578525,-3.9370124757040714
2023-02-22,BUY,31.9619083404541,28.796975726662,,
2023-03-01,SELL (SL),29.32868194580078,,844.5773420882151,-8.238639466093623
2023-03-03,BUY,27.421863555908203,30.79941450245623,,
2023-03-06,SELL,28.965478897094727,,892.1197908137692,5.629140915384445
2023-03-08,BUY,31.144699096679688,28.64435414978459,,
2023-03-13,SELL (TP),33.77792739868164,,967.5469148535491,8.454820172857858
2023-03-15,BUY,34.59513473510742,27.967716335316787,,
2023-03-16,SELL,35.321537017822266,,987.8627278418444,2.0997238145677333
2023-03-24,BUY,29.32868194580078,33.68247948091934,,
2023-03-30,SELL (TP),31.23550033569336,,1052.0890991332408,6.501548188958384
2023-04-04,BUY,29.23788070678711,35.98376741748642,,
2023-04-05,SELL,29.782686233520508,,1071.6932544949766,1.8633550502411333
2023-04-11,BUY,34.322731018066406,31.224008775142952,,
2023-04-12,SELL,35.23073959350586,,1100.044922222403,2.645502116254983
2023-04-13,BUY,35.049137115478516,31.385791855531807,,
2023-04-14,SELL (SL),33.95952606201172,,1065.8466164948074,-3.1088099255533463
2023-04-19,BUY,29.510284423828125,36.11780222742238,,
2023-04-25,SELL,29.782686233520508,,1075.685171183669,0.9230741587581193
2023-04-26,BUY,28.239070892333984,38.09208791907114,,
2023-04-27,SELL,29.056278228759766,,1106.8143048909096,2.893888894367369
2023-05-03,BUY,30.327491760253906,36.495411939785264,,
2023-05-04,SELL (TP),32.41591262817383,,1183.032084769291,6.886230105771318
2023-05-05,BUY,34.59513473510742,34.196487275672915,,
2023-05-08,SELL,35.13993835449219,,1201.6624548073228,1.5747983742693483
2023-05-09,BUY,37.59156036376953,31.966282941675285,,
2023-05-11,SELL,39.498382568359375,,1262.6164729187108,5.072474210002809
2023-05-12,BUY,39.13517761230469,32.262954966677476,,
2023-05-15,SELL,39.77078628540039,,1283.123086915227,1.6241364211819986
2023-05-16,BUY,30.69069480895996,41.808212388226124,,
2023-05-19,SELL (TP),33.051517486572266,,1381.8248628317829,7.692307692307687
2023-06-06,BUY,36.229549407958984,38.140823869264594,,
2023-06-07,SELL (SL),35.23073959350586,,1343.7294336198336,-2.756892731968963
2023-06-09,BUY,36.04794692993164,37.27617099058966,,
2023-06-13,SELL (SL),34.14112854003906,,1272.650545270197,-5.289672650703148
2023-06-20,BUY,33.41472244262695,38.08652151623694,,
2023-06-22,SELL (SL),32.41591262817383,,1234.6093537813992,-2.989130962162201
2023-06-23,BUY,32.506710052490234,37.980138617159746,,
2023-06-26,SELL (SL),30.872297286987305,,1172.5341303899427,-5.027924274292173
2023-06-27,BUY,30.69069480895996,38.20487407302452,,
2023-06-28,SELL,30.418291091918945,,1162.1269806833668,-0.8875775499272431
2023-06-30,BUY,30.59989356994629,37.97813799668737,,
2023-07-03,SELL,31.23550033569336,,1186.266142144537,2.0771535178518707
2023-07-05,BUY,30.963098526000977,38.31225551113307,,
2023-07-06,SELL (SL),28.602275848388672,,1095.8177005033772,-7.624633160114214
2023-07-07,BUY,28.874679565429688,37.95081770588197,,
2023-07-10,SELL (SL),27.694265365600586,,1051.0200163882284,-4.088059911294584
2023-07-11,BUY,27.785066604614258,37.826794923489075,,
2023-07-12,SELL (SL),27.05866050720215,,1023.5424019102486,-2.6143759442760373
2023-07-13,BUY,27.421863555908203,37.325778382035615,,
2023-07-14,SELL,26.786256790161133,,999.8178846338511,-2.31788318999977
2023-07-17,BUY,26.877058029174805,37.19967726931117,,
2023-07-18,SELL,26.877058029174805,,999.8178846338511,0.0
2023-07-19,BUY,26.695457458496094,37.452734653013,,
2023-07-20,SELL,26.33225440979004,,986.2149372254978,-1.3605425165338803
2023-07-21,BUY,27.421863555908203,35.96454833256626,,
2023-07-28,SELL,28.783878326416016,,1035.199183269095,4.966893543653272
2023-07-31,BUY,30.418291091918945,34.03212823958117,,
2023-08-01,SELL,31.144699096679688,,1059.920393641371,2.388063164250953
2023-08-02,BUY,30.236690521240234,35.054113904986174,,
2023-08-03,SELL (SL),28.693077087402344,,1005.8103925063507,-5.105100482982938
2023-08-07,BUY,27.331064224243164,36.80099626761618,,
2023-08-10,SELL (SL),25.878250122070312,,952.3453861547474,-5.3156148266051755
2023-08-11,BUY,26.150651931762695,36.417653702851844,,
2023-08-14,SELL,25.78744888305664,,939.1183833031503,-1.3888871667666058
2023-08-15,BUY,25.15184211730957,37.337956358148666,,
2023-08-16,SELL (TP),26.967859268188477,,1006.9247524283164,7.220215292418364
2023-08-17,BUY,25.605846405029297,39.32401751150645,,
2023-08-18,SELL (TP),27.240262985229492,,1071.1965786492055,6.382982051626995
