date,action,price,shares,capital,return_pct
2023-01-17,BUY,15.824702262878418,63.19234216152046,,
2023-01-18,SELL,16.051368713378906,,1014.3235838965643,1.4323583896564296
2023-01-19,BUY,16.416553497314453,61.7866340862895,,
2023-01-20,SELL,16.81951904296875,,1039.2214686152884,2.4546293819845744
2023-01-23,BUY,16.693593978881836,62.25271022704585,,
2023-01-24,SELL,16.609643936157227,,1033.995350932005,-0.5028877713858959
2023-01-25,BUY,17.06297492980957,60.59877337835044,,
2023-01-26,SELL,17.05457878112793,,1033.4865546207955,-0.04920682774357532
2023-01-30,BUY,17.130136489868164,60.331483945388534,,
2023-02-02,SELL (SL),16.55927085876465,,999.0453839628996,-3.332522373310698
2023-02-15,BUY,17.60025978088379,56.763104431446806,,
2023-02-16,SELL,17.79754638671875,,1010.2439841728352,1.120930078823279
2023-02-17,BUY,17.973838806152344,56.20635608610412,,
2023-02-23,SELL,17.67161750793457,,993.2572262684024,-1.6814510326771392
2023-02-27,BUY,17.096546173095703,58.09695222719663,,
2023-03-02,SELL (SL),16.02613639831543,,931.0696807194686,-6.260970864774684
2023-03-03,BUY,16.205961227416992,57.452295957878725,,
2023-03-08,SELL (TP),17.126516342163086,,983.9576856174002,5.680348742219077
2023-03-23,BUY,16.080326080322266,61.1901575069105,,
2023-03-28,SELL,16.36554718017578,,1001.4104096417311,1.7737270900404445
2023-04-10,BUY,16.87116050720215,59.35634417171468,,
2023-04-12,SELL (TP),18.46147346496582,,1095.8055729034893,9.4262214924977
2023-04-13,BUY,18.452831268310547,59.384143114414115,,
2023-04-14,SELL,18.76830291748047,,1114.5395864663362,1.7096110866828829
2023-04-17,BUY,18.8115177154541,59.24772276883943,,
2023-04-18,SELL,18.84609031677246,,1116.587934364644,0.18378422114211368
2023-04-25,BUY,18.59111976623535,60.060284071353166,,
2023-04-28,SELL,18.5219783782959,,1112.4352829639129,-0.3719054516825082
2023-05-02,BUY,18.08118438720703,61.52446981022955,,
2023-05-11,SELL (TP),19.187490463256836,,1180.5001777407126,6.118548720915373
2023-05-12,BUY,19.114023208618164,61.76094717769552,,
2023-05-15,SELL,19.204774856567383,,1186.1050854759933,0.4747909268431716
2023-05-16,BUY,18.651620864868164,63.59260109721178,,
2023-06-05,SELL (TP),19.74422264099121,,1255.5864743830912,5.857945451706303
2023-06-06,BUY,19.97228240966797,62.866449043164955,,
2023-06-07,SELL,19.9635066986084,,1255.034776590947,-0.04393945008168698
2023-06-09,BUY,20.937124252319336,59.94303522614473,,
2023-06-12,SELL,21.69584083557129,,1300.5145514674791,3.623786027672371
2023-06-13,BUY,21.470029830932617,60.57348600390777,,
2023-06-14,SELL,21.57600975036621,,1306.9341246339852,0.49361794216469246
2023-06-15,BUY,22.017593383789062,59.358627523580495,,
2023-06-16,SELL,21.854209899902344,,1297.2359052704485,-0.7420587756290065
2023-06-21,BUY,22.958179473876953,56.50430195244849,,
2023-06-22,SELL,22.521007537841797,,1272.5338101915816,-1.904209941962487
2023-06-27,BUY,22.167734146118164,57.40477586945518,,
2023-07-11,SELL (SL),21.34638023376465,,1225.384172943428,-3.7051775654632912
2023-07-21,BUY,21.42586898803711,57.19180741876128,,
2023-07-24,SELL,21.006359100341797,,1201.3916442360915,-1.9579597351665923
2023-07-26,BUY,21.07259750366211,57.012033947277125,,
2023-07-27,SELL,20.63983917236328,,1176.7192115611156,-2.053654425960638
