date,action,price,shares,capital,return_pct
2023-01-17,BUY,34.41353225708008,29.058336486056724,,
2023-01-18,SELL (SL),32.32510757446289,,939.3138528467236,-6.068614715327647
2023-01-24,BUY,39.8615837097168,23.56438870284407,,
2023-02-06,SELL (SL),37.50075912475586,,883.6824646674737,-5.922555917881045
2023-02-16,BUY,34.59513473510742,25.543547421733425,,
2023-02-17,SELL (SL),33.23311996459961,,848.891775787906,-3.9370124757040714
2023-02-24,BUY,32.77911376953125,25.897337608223122,,
2023-03-01,SELL (SL),29.32868194580078,,759.534777954601,-10.526312114446801
2023-03-03,BUY,27.421863555908203,27.698145912149535,,
2023-03-06,SELL (TP),28.965478897094727,,802.290060907018,5.629140915384445
2023-03-08,BUY,31.144699096679688,25.760083872267995,,
2023-03-13,SELL (TP),33.77792739868164,,870.1222428214181,8.454820172857858
2023-03-14,BUY,33.86872863769531,25.691021712961113,,
2023-03-22,SELL (SL),32.597511291503906,,837.463370378522,-3.75336600257431
2023-03-24,BUY,29.32868194580078,28.554415501049416,,
2023-03-30,SELL (TP),31.23550033569336,,891.9114549685567,6.501548188958384
2023-04-05,BUY,29.782686233520508,29.947313951980178,,
2023-04-11,SELL (TP),34.322731018066406,,1027.873601487403,15.243906304986222
2023-04-12,BUY,35.23073959350586,29.175476113957956,,
2023-04-14,SELL (SL),33.95952606201172,,990.7853414635556,-3.608251050535616
2023-04-17,BUY,33.23311996459961,29.81319065194463,,
2023-04-18,SELL (SL),32.14350891113281,,958.3005593900837,-3.2786902181542565
2023-04-19,BUY,29.510284423828125,32.473443685832535,,
2023-04-26,SELL (SL),28.239070892333984,,917.0198783624404,-4.307696643098757
2023-04-27,BUY,29.056278228759766,31.56012862840701,,
2023-05-04,SELL (TP),32.41591262817383,,1023.0503721523692,11.562507672055244
2023-05-05,BUY,34.59513473510742,29.572088098103848,,
2023-05-09,SELL (TP),37.59156036376953,,1111.6609348225813,8.661407598512149
2023-05-10,BUY,38.953575134277344,28.538097748167182,,
2023-05-16,SELL (SL),30.69069480895996,,875.8540484172665,-21.212123141032137
2023-06-23,BUY,32.506710052490234,26.943792435561168,,
2023-06-26,SELL (SL),30.872297286987305,,831.8167701095241,-5.027924274292173
2023-07-05,BUY,30.963098526000977,26.864778065122056,,
2023-07-06,SELL (SL),28.602275848388672,,768.3937928243623,-7.624633160114214
2023-07-10,BUY,27.694265365600586,27.7455921895944,,
2023-07-11,SELL,27.785066604614258,,770.9131269723456,0.32787018472950624
2023-07-12,BUY,27.05866050720215,28.4904393832486,,
2023-07-13,SELL,27.421863555908203,,781.2609414153166,1.342280223403458
2023-07-21,BUY,27.421863555908203,28.4904393832486,,
2023-07-31,SELL (TP),30.418291091918945,,866.6304784963276,10.927147711538886
2023-08-01,BUY,31.144699096679688,27.825938398252767,,
2023-08-03,SELL (SL),28.693077087402344,,798.4117954903755,-7.871715188729212
2023-08-04,BUY,27.785066604614258,28.73528456317551,,
2023-08-10,SELL (SL),25.878250122070312,,743.6188812547218,-6.86273856988805
2023-08-11,BUY,26.150651931762695,28.435959577417613,,
2023-08-14,SELL,25.78744888305664,,733.2908540433216,-1.3888871667666058
2023-08-15,BUY,25.15184211730957,29.15455856565944,,
2023-08-16,SELL (TP),26.967859268188477,,786.2360324248626,7.220215292418364
2023-08-18,BUY,27.240262985229492,28.86301181641249,,
2023-08-30,SELL (FINAL),26.51385498046875,,765.2697095999167,-2.666670307678831
