date,action,price,shares,capital,return_pct
2023-01-23,BUY,15.64006519317627,63.938352407654804,,
2023-01-27,SELL (SL),14.957016944885254,,956.3270203893378,-4.36729796106623
2023-03-01,BUY,14.770195960998535,64.74707735188949,,
2023-03-13,SELL (SL),14.122177124023438,,914.3696946262297,-4.387340822601304
2023-03-15,BUY,13.62594985961914,67.10502416686475,,
2023-03-16,SELL,13.579242706298828,,911.2354099739048,-0.3427808982236935
2023-03-23,BUY,13.310690879821777,68.45891157725583,,
2023-03-24,SELL,13.304856300354004,,910.8359810140299,-0.043833783839264395
2023-04-17,BUY,15.59335994720459,58.41178450942606,,
2023-04-18,SELL,15.99034595489502,,934.0246421485006,2.5458657340979185
2023-04-19,BUY,15.476600646972656,60.350761995736,,
2023-05-02,SELL (SL),14.954567909240723,,902.5195686396581,-3.3730452160633084
2023-05-12,BUY,17.26285743713379,52.28100689160917,,
2023-05-15,SELL,16.874853134155273,,882.2343130016644,-2.247625020316091
2023-05-16,BUY,17.295740127563477,51.00876322694543,,
2023-06-06,SELL (TP),18.446596145629883,,940.9380551355189,6.6539853719953745
2023-06-07,BUY,18.985855102539062,49.55995134555109,,
2023-06-09,SELL,19.913118362426758,,986.8931771800701,4.88396890674514
2023-06-12,BUY,20.26166343688965,48.70741142522735,,
2023-06-13,SELL,20.22212791442871,,984.9675042216539,-0.195124761518628
2023-06-14,BUY,21.090988159179688,46.70087038064902,,
2023-06-15,SELL,20.593496322631836,,961.7342024476017,-2.358788657947841
2023-06-16,BUY,20.76866912841797,46.3069730901366,,
2023-06-19,SELL,21.31521987915039,,987.0433133541619,2.6316118156293866
2023-06-20,BUY,21.420318603515625,46.0797680755394,,
2023-06-21,SELL,22.317209243774414,,1028.371826046409,4.18710224091432
2023-06-23,BUY,21.133033752441406,48.66181723329741,,
2023-06-26,SELL,21.60950469970703,,1051.557768199225,2.25462634871616
2023-06-30,BUY,20.691591262817383,50.82053646057012,,
2023-07-11,SELL,20.425329208374023,,1038.0261877533198,-1.286812846152774
2023-07-19,BUY,20.39029312133789,50.90786000849853,,
2023-07-25,SELL (TP),21.721616744995117,,1105.801024412469,6.529202967975145
2023-07-26,BUY,21.721616744995117,50.90786000849853,,
2023-07-27,SELL (SL),20.593496322631836,,1048.3708278780707,-5.193538011498211
2023-07-28,BUY,20.852752685546875,50.274937016094796,,
2023-08-16,SELL (TP),22.099994659423828,,1111.0758395585642,5.9811862380232395
2023-08-17,BUY,22.029926300048828,50.43484142550679,,
2023-08-23,SELL (TP),23.45160484313965,,1182.777971437395,6.453396728284422
2023-08-24,BUY,23.41523551940918,50.51317850110778,,
2023-08-25,SELL,23.255199432373047,,1174.6940400063202,-0.6834699010542788
