idx,action,shares,price
2,BUY,194,25.699426651000977
7,SELL,194,25.465795516967773
12,BUY,197,25.101333618164062
19,SELL,197,24.736865997314453
23,BUY,196,24.877044677734375
41,STOP_LOSS,196,23.70888900756836
45,BUY,194,23.923830032348633
48,SELL,194,24.019535064697266
49,BUY,199,23.31475830078125
53,SELL,199,23.971914291381836
56,BUY,203,23.495718002319336
59,SELL,203,23.833011627197266
60,BUY,206,23.506927490234375
63,STOP_LOSS,206,22.7684383392334
82,BUY,192,24.38927459716797
85,SELL,192,25.626482009887695
90,BUY,186,26.50882911682129
94,SELL,186,26.691055297851562
106,BUY,185,26.834915161132812
107,SELL,185,26.671873092651367
112,BUY,185,26.63351058959961
113,SELL,185,26.59514617919922
158,BUY,169,29.11890411376953
159,SELL,169,29.217079162597656
162,BUY,200,24.583189010620117
164,SELL,200,24.79917335510254
167,BUY,205,24.219938278198242
168,SELL,205,24.121761322021484
170,BUY,212,23.26763343811035
174,STOP_LOSS,212,22.350000381469727
184,BUY,218,21.809999465942383
186,STOP_LOSS,218,21.09000015258789
224,BUY,231,19.850000381469727
225,SELL,231,20.649999618530273
228,BUY,240,19.860000610351562
231,SELL,240,20.049999237060547
237,BUY,236,20.420000076293945
240,SELL,236,21.149999618530273
247,BUY,227,21.940000534057617
250,SELL,227,21.6200008392334
251,BUY,228,21.510000228881836
253,SELL,228,22.110000610351562
255,BUY,228,22.110000610351562
256,SELL,228,22.1200008392334
261,BUY,235,21.40999984741211
265,STOP_LOSS,235,20.610000610351562
266,BUY,232,20.8799991607666
271,SELL,232,20.770000457763672
276,BUY,231,20.850000381469727
277,SELL,231,20.959999084472656
287,BUY,206,23.469999313354492
288,SELL,206,22.799999237060547
289,BUY,209,22.5
292,SELL,209,21.8799991607666
