idx,action,shares,price
2,BUY,194,25.699426651000977
4,SELL,194,25.587284088134766
82,BUY,203,24.38927459716797
85,SELL,203,25.626482009887695
87,BUY,196,26.575965881347656
88,SELL,196,26.403331756591797
90,BUY,195,26.50882911682129
91,SELL,195,26.547195434570312
92,BUY,196,26.480058670043945
93,SELL,196,26.63351058959961
100,BUY,198,26.326608657836914
101,SELL,198,27.57340431213379
105,BUY,203,26.854097366333008
107,SELL,203,26.671873092651367
112,BUY,203,26.63351058959961
113,SELL,203,26.59514617919922
136,BUY,199,27.12593650817871
137,SELL,199,27.24374771118164
144,BUY,199,27.27320098876953
145,SELL,199,27.528457641601562
154,BUY,190,28.775287628173828
155,SELL,190,28.873464584350586
158,BUY,188,29.11890411376953
159,SELL,188,29.217079162597656
237,BUY,269,20.420000076293945
238,SELL,269,20.280000686645508
247,BUY,249,21.940000534057617
250,SELL,249,21.6200008392334
251,BUY,250,21.510000228881836
253,SELL,250,22.110000610351562
255,BUY,250,22.110000610351562
256,SELL,250,22.1200008392334
260,BUY,256,21.579999923706055
262,SELL,256,21.209999084472656
287,BUY,231,23.469999313354492
288,SELL,231,22.799999237060547
289,BUY,234,22.5
291,SELL,234,22.5
