idx,action,shares,price
1,BUY,345,14.486682891845703
2,SELL,345,14.37511920928955
4,BUY,360,13.74862003326416
8,SELL,360,13.499734878540039
12,BUY,366,13.268017768859863
17,SELL,366,13.199362754821777
19,BUY,367,13.173613548278809
22,SELL,367,13.430553436279297
25,BUY,423,11.651839256286621
31,SELL,423,12.004141807556152
39,BUY,428,11.858068466186523
40,SELL,428,11.745325088500977
50,BUY,411,12.218579292297363
51,SELL,411,12.149741172790527
55,BUY,416,11.994856834411621
57,SELL,416,12.356253623962402
60,BUY,420,12.226394653320312
62,SELL,420,12.54518985748291
67,BUY,425,12.39871883392334
70,STOP_LOSS,425,11.976524353027344
82,BUY,427,11.88943099975586
86,SELL,427,11.604704856872559
87,BUY,430,11.53568172454834
92,SELL,430,11.587450981140137
96,BUY,448,11.112906455993652
106,SELL,448,11.18995475769043
107,BUY,451,11.112189292907715
121,SELL,451,11.033496856689453
123,BUY,455,10.916694641113281
126,SELL,455,11.121993064880371
132,BUY,450,11.255887985229492
135,SELL,450,11.211257934570312
136,BUY,452,11.148771286010742
147,TAKE_PROFIT,452,12.166839599609375
150,BUY,431,12.738977432250977
152,SELL,431,13.14125919342041
157,BUY,405,13.981586456298828
158,SELL,405,14.035223007202148
161,BUY,406,13.999465942382812
163,SELL,406,13.78491497039795
172,BUY,397,14.097068786621094
174,SELL,397,13.980713844299316
175,BUY,398,13.918057441711426
180,STOP_LOSS,398,13.452631950378418
188,BUY,402,13.327396392822266
190,SELL,402,13.662579536437988
195,BUY,403,13.62624454498291
196,SELL,403,13.444561958312988
197,BUY,396,13.644413948059082
198,SELL,396,13.762506484985352
204,BUY,397,13.735252380371094
206,SELL,397,13.562652587890625
207,BUY,390,13.807928085327148
208,SELL,390,13.608071327209473
209,BUY,388,13.653496742248535
210,STOP_LOSS,388,13.053942680358887
226,BUY,407,12.452964782714844
227,SELL,407,12.116398811340332
228,BUY,424,11.607002258300781
230,STOP_LOSS,424,11.243144989013672
235,BUY,428,11.151105880737305
237,SELL,428,11.570182800292969
239,BUY,448,11.023561477661133
242,STOP_LOSS,448,10.467828750610352
