idx,action,shares,price
1,BUY,345,14.486682891845703
2,SELL,345,14.37511920928955
4,BUY,360,13.74862003326416
8,SELL,360,13.499734878540039
9,BUY,359,13.525482177734375
10,SELL,359,13.448244094848633
11,BUY,360,13.42249870300293
13,SELL,360,13.199362754821777
63,BUY,379,12.51072883605957
65,SELL,379,12.674434661865234
150,BUY,377,12.738977432250977
152,SELL,377,13.14125919342041
157,BUY,354,13.981586456298828
158,SELL,354,14.035223007202148
161,BUY,355,13.999465942382812
162,SELL,355,13.954764366149902
164,BUY,353,14.008405685424805
165,SELL,353,13.972648620605469
172,BUY,350,14.097068786621094
174,SELL,350,13.980713844299316
175,BUY,351,13.918057441711426
180,STOP_LOSS,351,13.452631950378418
188,BUY,355,13.327396392822266
189,SELL,355,13.807928085327148
191,BUY,358,13.680750846862793
193,SELL,358,13.826095581054688
195,BUY,363,13.62624454498291
196,SELL,363,13.444561958312988
197,BUY,357,13.644413948059082
198,SELL,357,13.762506484985352
200,BUY,356,13.807928085327148
201,SELL,356,13.916939735412598
203,BUY,359,13.789758682250977
206,SELL,359,13.562652587890625
207,BUY,352,13.807928085327148
208,SELL,352,13.608071327209473
209,BUY,351,13.653496742248535
210,STOP_LOSS,351,13.053942680358887
