idx,action,shares,price
1,BUY,142,35.15385055541992
3,SELL,142,36.158790588378906
5,BUY,143,35.8812370300293
18,STOP_LOSS,143,34.35947036743164
26,BUY,136,35.95780563354492
29,STOP_LOSS,136,34.85715866088867
50,BUY,138,34.40732192993164
67,STOP_LOSS,138,33.230106353759766
81,BUY,140,32.70370864868164
82,SELL,140,33.80436325073242
86,BUY,149,31.784900665283203
90,TAKE_PROFIT,149,33.92878341674805
107,BUY,167,30.24399185180664
118,SELL,167,31.32550048828125
119,BUY,168,31.047943115234375
121,STOP_LOSS,168,29.58359718322754
144,BUY,158,31.608760833740234
145,SELL,158,31.763845443725586
148,BUY,160,31.288890838623047
150,TAKE_PROFIT,160,33.34379959106445
155,BUY,152,35.07883834838867
156,SELL,152,34.9625244140625
157,BUY,151,35.195159912109375
171,STOP_LOSS,151,33.91569137573242
203,BUY,163,31.337358474731445
208,SELL,163,31.948009490966797
210,BUY,165,31.521526336669922
213,SELL,165,32.15156555175781
217,BUY,163,32.568359375
218,SELL,163,32.859153747558594
223,BUY,166,32.17095184326172
227,STOP_LOSS,166,31.06595230102539
