idx,action,shares,price
1,BUY,142,35.15385055541992
3,SELL,142,36.158790588378906
4,BUY,142,36.1396484375
10,STOP_LOSS,142,34.98157501220703
26,BUY,138,35.95780563354492
29,STOP_LOSS,138,34.85715866088867
47,BUY,134,35.79510498046875
48,SELL,134,35.58454132080078
50,BUY,139,34.40732192993164
51,SELL,139,34.838016510009766
52,BUY,135,35.69939422607422
59,STOP_LOSS,135,33.986202239990234
65,BUY,132,34.771018981933594
66,STOP_LOSS,132,33.49809265136719
91,BUY,130,34.09148025512695
93,STOP_LOSS,130,32.962120056152344
147,BUY,139,30.81393814086914
148,SELL,139,31.288890838623047
155,BUY,124,35.07883834838867
156,SELL,124,34.9625244140625
157,BUY,123,35.195159912109375
171,STOP_LOSS,123,33.91569137573242
177,BUY,122,34.20647430419922
181,STOP_LOSS,122,32.30665588378906
223,BUY,122,32.17095184326172
224,SELL,122,32.2775764465332
227,BUY,127,31.06595230102539
228,STOP_LOSS,127,29.951261520385742
