idx,action,shares,price
1,BUY,176,28.34905242919922
2,SELL,176,28.16376495361328
3,BUY,181,27.343204498291016
8,STOP_LOSS,181,26.257946014404297
14,BUY,180,26.380327224731445
21,SELL,180,25.763296127319336
22,BUY,178,26.049455642700195
23,SELL,178,26.61283302307129
25,BUY,186,25.39665412902832
30,SELL,186,26.013683319091797
33,BUY,188,25.84377670288086
37,SELL,188,25.93320655822754
39,BUY,190,25.56656265258789
53,SELL,190,25.271459579467773
54,BUY,192,25.04789924621582
58,SELL,192,25.50396728515625
60,BUY,194,25.173093795776367
66,STOP_LOSS,194,24.29673194885254
78,BUY,189,24.914901733398438
79,SELL,189,25.53209686279297
83,BUY,180,26.86634063720703
86,STOP_LOSS,180,26.022228240966797
99,BUY,184,25.35964584350586
100,SELL,184,25.15088653564453
103,BUY,188,24.68798828125
106,SELL,188,24.760601043701172
107,BUY,189,24.506458282470703
112,SELL,189,24.93305206298828
116,BUY,189,24.99658966064453
118,SELL,189,25.287033081054688
126,BUY,194,24.606298446655273
129,SELL,194,25.15088653564453
137,BUY,185,26.414566040039062
140,STOP_LOSS,185,25.512603759765625
145,BUY,175,26.837932586669922
146,STOP_LOSS,175,26.000396728515625
150,BUY,175,26.02800941467285
154,TAKE_PROFIT,175,27.647857666015625
156,BUY,174,27.83193016052246
165,SELL,174,28.945575714111328
167,BUY,174,28.89955711364746
179,STOP_LOSS,174,27.97918701171875
191,BUY,184,26.368545532226562
192,SELL,184,26.42376708984375
195,BUY,185,26.322526931762695
198,SELL,185,26.635452270507812
204,BUY,185,26.638412475585938
205,SELL,185,26.722415924072266
207,BUY,183,26.946426391601562
208,STOP_LOSS,183,25.565034866333008
211,BUY,187,25.014347076416016
215,SELL,187,25.210357666015625
217,BUY,192,24.612998962402344
221,STOP_LOSS,192,23.67962646484375
228,BUY,195,23.240943908691406
230,SELL,195,23.054269790649414
239,BUY,199,22.634252548217773
242,SELL,199,21.990224838256836
243,BUY,197,22.158233642578125
244,SELL,197,22.671586990356445
246,BUY,201,22.186233520507812
247,SELL,201,22.055561065673828
