idx,action,shares,price
1,BUY,176,28.34905242919922
2,SELL,176,28.16376495361328
3,BUY,181,27.343204498291016
8,STOP_LOSS,181,26.257946014404297
13,BUY,179,26.58600425720215
14,SELL,179,26.380327224731445
81,BUY,175,26.884492874145508
82,SELL,175,26.86634063720703
83,BUY,175,26.86634063720703
86,STOP_LOSS,175,26.022228240966797
132,BUY,177,25.72270393371582
134,SELL,177,26.38528823852539
136,BUY,177,26.43067169189453
140,STOP_LOSS,177,25.512603759765625
145,BUY,168,26.837932586669922
146,STOP_LOSS,168,26.000396728515625
149,BUY,168,25.92677116394043
152,SELL,168,26.65385627746582
153,BUY,166,26.966785430908203
155,SELL,166,27.638654708862305
156,BUY,165,27.83193016052246
158,SELL,165,28.595836639404297
160,BUY,165,28.503799438476562
165,SELL,165,28.945575714111328
166,BUY,165,28.89955711364746
173,SELL,165,28.743093490600586
174,BUY,167,28.485393524169922
181,STOP_LOSS,167,27.178470611572266
208,BUY,177,25.565034866333008
209,SELL,177,26.087724685668945
