idx,action,shares,price
1,BUY,78,63.529842376708984
4,STOP_LOSS,78,61.4703369140625
16,BUY,81,59.147010803222656
17,SELL,81,58.86616516113281
19,BUY,83,57.666202545166016
22,STOP_LOSS,83,55.75137710571289
31,BUY,82,56.1768913269043
37,SELL,82,56.79814529418945
38,BUY,82,57.01090621948242
45,STOP_LOSS,82,54.43226623535156
54,BUY,82,54.19091796875
65,SELL,82,55.61348342895508
66,BUY,83,54.76883316040039
92,TAKE_PROFIT,83,58.84093475341797
146,BUY,93,52.82170104980469
158,SELL,93,52.7146110534668
161,BUY,92,52.89892578125
184,SELL,92,55.857208251953125
185,BUY,87,59.21177673339844
186,SELL,87,58.944515228271484
188,BUY,87,58.81549835205078
193,STOP_LOSS,87,56.32721710205078
237,BUY,91,54.22600555419922
239,STOP_LOSS,91,51.93916702270508
248,BUY,93,50.72111511230469
248,LIQ_FINAL,93,50.72111511230469
