idx,action,shares,price
1,BUY,78,63.529842376708984
4,STOP_LOSS,78,61.4703369140625
75,BUY,86,55.81797790527344
76,SELL,86,56.51148223876953
77,BUY,88,55.32008361816406
78,SELL,88,55.32008361816406
81,BUY,86,56.83155822753906
101,SELL,86,56.19140625
123,BUY,86,55.95134353637695
130,SELL,86,55.133365631103516
132,BUY,84,56.004695892333984
134,SELL,84,54.90220260620117
164,BUY,85,54.71444320678711
168,STOP_LOSS,85,52.115577697753906
177,BUY,82,53.91266632080078
179,SELL,82,53.02794647216797
185,BUY,73,59.21177673339844
186,SELL,73,58.944515228271484
187,BUY,74,58.52980422973633
193,STOP_LOSS,74,56.32721710205078
208,BUY,72,57.746456146240234
216,STOP_LOSS,72,55.87564468383789
237,BUY,74,54.22600555419922
238,SELL,74,52.7295036315918
