idx,action,shares,price
1,BUY,144,34.707496643066406
5,STOP_LOSS,144,33.59785842895508
20,BUY,153,31.484729766845703
23,SELL,153,32.07332229614258
34,BUY,141,34.71714782714844
36,SELL,141,35.96052932739258
57,BUY,135,37.5621337890625
61,SELL,135,36.91904067993164
70,BUY,132,37.7765007019043
71,SELL,132,37.240596771240234
82,BUY,130,37.7765007019043
85,SELL,130,38.08829879760742
96,BUY,130,38.02983856201172
100,STOP_LOSS,130,36.763153076171875
102,BUY,132,36.38314437866211
104,SELL,132,36.57801818847656
147,BUY,100,47.859039306640625
151,SELL,100,48.68182373046875
