idx,action,shares,price
1,BUY,144,34.707496643066406
4,SELL,144,34.0803108215332
5,BUY,146,33.59785842895508
6,SELL,146,33.453121185302734
34,BUY,140,34.71714782714844
36,SELL,140,35.96052932739258
39,BUY,139,36.2816162109375
40,SELL,139,36.13566207885742
56,BUY,133,37.7862434387207
61,SELL,133,36.91904067993164
69,BUY,133,36.67544937133789
71,SELL,133,37.240596771240234
72,BUY,132,37.61084747314453
73,SELL,132,37.5621337890625
76,BUY,133,37.25033950805664
77,SELL,133,37.67906188964844
82,BUY,133,37.7765007019043
85,SELL,133,38.08829879760742
96,BUY,133,38.02983856201172
100,STOP_LOSS,133,36.763153076171875
118,BUY,120,40.5047492980957
119,SELL,120,40.87500762939453
147,BUY,103,47.859039306640625
150,SELL,103,48.672035217285156
