date,action,price,shares,capital,return_pct
2023-01-24,BUY,15.529141426086426,64.3950603940127,,
2023-01-27,SELL (SL),14.957016944885254,,963.1580094801573,-3.6841990519842605
2023-03-01,BUY,14.770197868347168,65.2095535933357,,
2023-03-13,SELL (SL),14.122179985046387,,920.9010525896151,-4.387333799295245
2023-03-15,BUY,13.625946998596191,67.58437066315396,,
2023-03-16,SELL,13.579241752624512,,917.7445079339515,-0.3427669722808391
2023-03-23,BUY,13.310693740844727,68.94790953816276,,
2023-03-24,SELL,13.304858207702637,,917.3421601227637,-0.04384093914040488
2023-03-31,BUY,13.690165519714355,67.00738269393138,,
2023-04-03,SELL,14.297321319580078,,958.0260811592062,4.434977787459138
2023-04-17,BUY,15.59335994720459,61.43807905434459,,
2023-04-18,SELL,15.990347862243652,,982.4162560669955,2.5458779658981134
2023-04-19,BUY,15.476601600646973,63.47751796013973,,
2023-05-02,SELL (SL),14.954567909240723,,949.2788530449571,-3.373051170254504
2023-05-12,BUY,17.262855529785156,54.98967719489288,,
2023-05-16,SELL,17.29574203491211,,951.0872713459565,0.19050443346531054
2023-05-17,BUY,16.874855041503906,56.3612113411787,,
2023-06-01,SELL (TP),17.72977638244629,,999.2716737228941,5.066244058628611
2023-06-06,BUY,18.446596145629883,54.171060386098816,,
2023-06-07,SELL,18.985857009887695,,1028.484006564464,2.9233624458437912
2023-06-09,BUY,19.913116455078125,51.64857087460994,,
2023-06-12,SELL,20.261661529541016,,1046.4858615458568,1.7503291122169307
2023-06-13,BUY,20.222124099731445,51.7495519454237,,
2023-06-14,SELL,21.09099006652832,,1091.4492860282226,4.296610793761335
2023-06-15,BUY,20.593494415283203,52.99971262857736,,
2023-06-16,SELL,20.76866912841797,,1100.7334954841585,0.8506313188147541
2023-06-20,BUY,21.420316696166992,51.38735860432571,,
2023-06-21,SELL,22.317211151123047,,1146.8225324712166,4.187120422531132
2023-06-23,BUY,21.133033752441406,54.26681970536905,,
2023-06-26,SELL,21.609508514404297,,1172.6793024728154,2.2546443995900223
2023-06-30,BUY,20.69159507751465,56.674185729990164,,
2023-07-11,SELL,20.425329208374023,,1157.5889011515824,-1.2868310448911346
2023-07-19,BUY,20.39029312133789,56.77156744452079,,
2023-07-25,SELL (TP),21.72161865234375,,1233.170338325694,6.529212322174338
2023-07-26,BUY,21.72161865234375,56.77156744452079,,
2023-07-27,SELL (SL),20.593494415283203,,1169.1249571156127,-5.193555117214177
2023-07-28,BUY,20.852754592895508,56.06573231883385,,
2023-08-16,SELL (TP),22.09999656677246,,1239.052491759812,5.981185690939306
2023-08-17,BUY,22.029926300048828,56.24405977958563,,
2023-08-23,SELL (TP),23.451602935791016,,1319.0133574477359,6.453388070295252
2023-08-24,BUY,23.415231704711914,56.33142452236793,,
2023-08-25,SELL,23.255199432373047,,1309.9985115773359,-0.6834537208814551
